frame, time,Joint1: JointValue (degree),Joint2: JointValue (degree),Joint1: JointVel (degree/s),Joint1: GenForce (N.m),Joint1: JointAccl (degree/s^2),Joint2: JointAccl (degree/s^2),Joint2: GenForce (N.m),Joint2: JointVel (degree/s)
146,1.45,7.068271102,-5.301203326,-34.69303395,22.80266773,93.08743305,-69.81557478,5.829985585,26.01977546
147,1.46,6.72600247,-5.044501853,-33.75999701,22.83027099,93.50460772,-70.12845579,5.836440671,25.31999776
148,1.47,6.393083531,-4.794812648,-32.8232494,22.85363937,93.82950463,-70.37212847,5.841795177,24.61743705
149,1.48,6.06954677,-4.552160077,-31.88371559,22.87280783,94.06180314,-70.54635236,5.846052149,23.91278669
150,1.49,5.755415416,-4.316561562,-30.94232277,22.88781419,94.20127402,-70.65095551,5.849215826,23.20674208
151,1.5,5.450703414,-4.088027561,-30,22.898699,94.24777961,-70.68583471,5.851291589,22.5
152,1.51,5.155415416,-3.866561562,-29.05767723,22.90550539,94.20127402,-70.65095551,5.852285909,21.79325792
153,1.52,4.86954677,-3.652160077,-28.11628441,22.90827901,94.06180314,-70.54635236,5.852206291,21.08721331
154,1.53,4.593083531,-3.444812648,-27.1767506,22.90706785,93.82950463,-70.37212847,5.85106123,20.38256295
155,1.54,4.32600247,-3.244501853,-26.24000299,22.90192214,93.50460772,-70.12845579,5.848860156,19.68000224
156,1.55,4.068271102,-3.051203326,-25.30696605,22.89289428,93.08743305,-69.81557478,5.845613392,18.98022454
157,1.56,3.819847711,-2.864885783,-24.37856056,22.88003869,92.57839232,-69.43379424,5.841332108,18.28392042
158,1.57,3.580681397,-2.685511048,-23.45570276,22.86341176,91.97798789,-68.98349092,5.83602828,17.59177707
159,1.58,3.350712127,-2.513034095,-22.53930339,22.84307171,91.2868123,-68.46510923,5.829714649,16.90447754
160,1.59,3.129870786,-2.34740309,-21.63026682,22.81907859,90.50554765,-67.87916073,5.822404686,16.22270011
161,1.6,2.918079256,-2.188559442,-20.72949017,22.79149412,89.63496494,-67.22622371,5.814112558,15.54711763
162,1.61,2.715250486,-2.036437864,-19.83786239,22.76038165,88.67592335,-66.50694251,5.804853093,14.87839679
163,1.62,2.521288578,-1.890966434,-18.95626342,22.72580615,87.62936933,-65.72202699,5.794641755,14.21719756
164,1.63,2.336088887,-1.752066665,-18.08556328,22.68783407,86.4963357,-64.87225177,5.783494615,13.56417246
165,1.64,2.159538117,-1.619653588,-17.22662125,22.64653334,85.27794062,-63.95845547,5.771428329,12.91996594
166,1.65,1.991514441,-1.493635831,-16.38028501,22.60197333,83.97538652,-62.98153989,5.758460117,12.28521376
167,1.66,1.831887612,-1.373915709,-15.54738978,22.55422478,82.58995885,-61.94246914,5.744607741,11.66054233
168,1.67,1.680519101,-1.260389325,-14.72875753,22.50335979,81.12302486,-60.84226865,5.729889491,11.04656815
169,1.68,1.537262224,-1.152946668,-13.92519615,22.44945178,79.57603224,-59.68202418,5.71432417,10.44389711
170,1.69,1.401962296,-1.051471722,-13.13749866,22.39257547,77.95050768,-58.46288076,5.69793108,9.853123998
171,1.7,1.274456778,-0.955842583,-12.36644243,22.33280685,76.24805538,-57.18604154,5.680730011,9.274831823
172,1.71,1.154575438,-0.865931579,-11.61278839,22.27022317,74.47035546,-55.8527666,5.662741231,8.709591293
173,1.72,1.042140522,-0.781605391,-10.87728031,22.20490293,72.61916229,-54.46437172,5.64398548,8.157960231
174,1.73,0.936966924,-0.702725193,-10.16064404,22.13692583,70.69630277,-53.02222708,5.624483959,7.62048303
175,1.74,0.838862375,-0.629146781,-9.463586822,22.06637283,68.70367454,-51.5277559,5.604258326,7.097690117
176,1.75,0.747627629,-0.560720722,-8.786796564,21.99332605,66.64324407,-49.98243305,5.583330688,6.590097423
177,1.76,0.663056659,-0.497292494,-8.130941177,21.91786884,64.51704477,-48.38778358,5.561723597,6.098205883
178,1.77,0.584936863,-0.438702647,-7.496667911,21.84008572,62.32717493,-46.7453812,5.539460044,5.622500933
179,1.78,0.513049271,-0.384786953,-6.884602717,21.7600624,60.0757957,-45.05684678,5.516563453,5.163452038
180,1.79,0.447168765,-0.335376574,-6.295349629,21.67788576,57.76512891,-43.32384668,5.493057676,4.721512222
181,1.8,0.387064297,-0.290298223,-5.729490169,21.59364383,55.39745491,-41.54809119,5.468966986,4.297117627
182,1.81,0.332499119,-0.249374339,-5.187582772,21.50742579,52.97511032,-39.73133274,5.444316072,3.890687079
183,1.82,0.283231016,-0.212423262,-4.670162235,21.41932195,50.50048568,-37.87536426,5.419130029,3.502621676
184,1.83,0.239012547,-0.17925941,-4.17773919,21.32942373,47.97602316,-35.98201737,5.393434349,3.133304392
185,1.84,0.199591285,-0.149693464,-3.710799599,21.23782366,45.4042141,-34.05316058,5.367254915,2.783099699
186,1.85,0.164710071,-0.123532553,-3.269804274,21.14461534,42.78759656,-32.09069742,5.340617988,2.452353206
187,1.86,0.134107265,-0.100580449,-2.855188426,21.04989339,40.12875283,-30.09656462,5.313550193,2.14139132
188,1.87,0.107517004,-0.080637753,-2.467361229,20.95375348,37.43030687,-28.07273015,5.286078509,1.850520922
189,1.88,0.084669466,-0.0635021,-2.106705423,20.85629223,34.69492171,-26.02119128,5.258230252,1.580029068
190,1.89,0.065291135,-0.048968351,-1.773576931,20.75760723,31.92529685,-23.94397264,5.23003306,1.330182699
191,1.9,0.049105071,-0.036828803,-1.468304511,20.65779696,29.12416558,-21.84312419,5.201514873,1.101228383
192,1.91,0.035831184,-0.026873388,-1.19118943,20.55696072,26.29429227,-19.72071921,5.172703916,0.893392072
193,1.92,0.02518651,-0.018889882,-0.942505166,20.45519866,23.43846968,-17.57885226,5.14362868,0.706878875
194,1.93,0.01688549,-0.012664117,-0.722497142,20.35261163,20.55951614,-15.4196371,5.114317894,0.541872856
195,1.94,0.010640252,-0.007980189,-0.531382478,20.24930118,17.66027284,-13.24520463,5.08480051,0.398536859
196,1.95,0.006160897,-0.004620673,-0.369349782,20.14536945,14.74360098,-11.05770074,5.05510567,0.277012337
197,1.96,0.003155781,-0.002366836,-0.236558961,20.04091913,11.81237897,-8.859284231,5.025262689,0.17741922
198,1.97,0.001331805,-0.000998854,-0.133141062,19.93605337,8.869499573,-6.65212468,4.99530102,0.099855796
199,1.98,0.000394706,-0.00029603,-0.059198147,19.83087569,5.917867046,-4.438400285,4.965250235,0.04439861
200,1.99,4.93455868380011E-05,-3.70E-05,-0.014803189,19.7254899,2.960394299,-2.220295724,4.93513999,0.011102392
201,2,0,0,0,19.62,2.30832859482466E-14,-1.73E-14,4.905,0
